ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntFruits,MntMeatProducts,NumWebPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp1,AcceptedCmp2,Complain,Response
5524,1957,Graduation,Single,58138,0,0,2012-09-04,58,88,546,8,4,7,0,0,0,1
2174,1954,Graduation,Single,46344,1,1,2014-03-08,38,1,6,1,2,5,0,0,0,0
4141,1965,Graduation,Together,71613,0,0,2013-08-21,26,49,127,8,10,4,0,0,0,0
6182,1984,Graduation,Together,26646,1,0,2014-02-10,26,4,20,2,4,6,0,0,0,0
5324,1981,PhD,Married,58293,1,0,2014-01-19,94,43,118,5,6,5,0,0,0,0
7446,1967,Master,Together,62513,0,1,2013-09-09,16,42,98,6,10,6,0,0,0,0
965,1971,Graduation,Divorced,55635,0,1,2012-11-13,34,65,164,7,7,6,0,0,0,0
6177,1985,PhD,Married,33454,1,0,2013-05-08,32,10,56,4,4,8,0,0,0,0
4855,1974,PhD,Together,30351,1,0,2013-06-06,19,0,24,3,2,9,0,0,0,1
5899,1950,PhD,Together,5648,1,1,2014-03-13,68,0,6,1,0,20,1,0,0,0
1994,1983,Graduation,Married,6640,1,0,2013-11-15,11,5,6,1,2,7,0,0,0,0
387,1976,Basic,Married,7500,0,0,2012-11-13,59,16,11,2,3,8,0,0,0,0
2125,1959,Graduation,Divorced,63033,0,0,2013-11-15,82,61,480,3,8,2,0,0,0,0
8180,1952,Master,Divorced,59354,1,1,2013-11-15,53,2,53,6,5,6,0,0,0,0
2569,1987,Graduation,Married,17323,0,0,2012-10-10,38,14,17,1,3,8,0,0,0,0
2114,1946,PhD,Single,82800,0,0,2012-11-24,23,22,115,7,12,3,0,0,0,1
9736,1980,Graduation,Married,41850,1,1,2012-12-24,51,5,19,3,3,8,0,0,0,0
4939,1946,Graduation,Together,37760,0,0,2012-08-31,20,5,38,4,6,7,0,0,0,0
6565,1949,Master,Married,76995,0,1,2013-03-28,91,80,498,11,9,5,0,0,0,0
2278,1985,2n Cycle,Single,33812,1,0,2012-11-03,86,17,19,2,3,6,0,0,0,0
9360,1982,Graduation,Married,37040,0,0,2012-08-08,41,2,73,4,5,8,0,0,0,0
5376,1979,Graduation,Married,2447,1,0,2013-01-06,42,1,1725,0,0,1,0,0,0,0
1993,1949,PhD,Married,58607,0,1,2012-12-23,63,0,86,2,9,8,0,1,0,0
4047,1954,PhD,Married,65324,0,1,2014-01-11,0,0,102,6,9,4,0,0,0,0
1409,1951,Graduation,Together,40689,0,1,2013-03-18,69,3,27,7,5,8,0,0,0,0
7892,1969,Graduation,Single,18589,0,0,2013-01-02,89,4,25,2,3,7,0,0,0,0
2404,1976,Graduation,Married,53359,1,1,2013-05-27,4,4,30,5,4,7,0,0,0,0
5255,1986,Graduation,Single,3654,1,0,2013-02-20,19,1,3,27,0,1,0,0,0,0
9422,1989,Graduation,Married,38360,1,0,2013-05-31,26,2,42,2,4,3,0,0,0,0
1966,1965,PhD,Married,84618,0,0,2013-11-22,96,100,801,6,10,2,0,0,0,0
6864,1989,Master,Divorced,10979,0,0,2014-05-22,34,4,10,3,3,5,0,0,0,0
3033,1963,Master,Together,38620,0,0,2013-05-11,56,17,44,2,3,3,0,0,0,0
5710,1970,Graduation,Together,40548,0,1,2012-10-10,31,0,5,2,4,5,0,1,0,0
7373,1952,PhD,Divorced,46610,0,2,2012-10-29,8,12,96,4,6,6,0,0,0,1
8755,1946,Master,Married,68657,0,0,2013-02-20,4,34,471,3,9,7,0,0,0,0
10738,1951,Master,Single,49389,1,1,2013-08-29,55,0,19,2,3,7,0,0,0,0
4339,1970,PhD,Married,67353,0,1,2013-12-31,37,17,151,5,12,2,0,0,0,0
10755,1976,2n Cycle,Married,23718,1,0,2013-09-02,76,3,14,3,2,7,0,0,0,0
8595,1973,Graduation,Widow,42429,0,1,2014-02-11,99,0,6,1,3,5,0,0,0,0
2968,1943,PhD,Divorced,48948,0,0,2013-02-01,53,8,206,7,5,6,1,0,0,1
8601,1980,Graduation,Married,80011,0,1,2013-04-29,3,76,536,8,5,4,0,0,0,0
503,1985,Master,Married,20559,1,0,2013-03-12,88,1,29,2,3,8,0,0,0,0
8430,1957,Graduation,Together,21994,0,1,2012-12-24,4,0,6,0,3,5,0,0,0,0
7281,1959,PhD,Single,50000,0,0,2013-11-05,80,11,50,1,4,2,0,0,0,0
2139,1975,Master,Married,7500,1,0,2013-10-02,19,1,10,2,3,5,0,0,0,0
1371,1976,Graduation,Single,79941,0,0,2014-06-28,72,164,266,2,9,1,0,0,0,0
9909,1996,2n Cycle,Married,7500,0,0,2012-11-09,24,18,14,3,3,9,0,0,0,1
7286,1968,Graduation,Together,41728,1,0,2013-05-24,92,6,15,2,2,10,0,0,0,0
7244,1951,Graduation,Single,61141,2,1,2014-01-01,96,5,48,2,4,6,0,0,0,0
6566,1954,PhD,Married,72550,1,1,2012-11-08,39,50,317,5,12,8,0,0,0,0
8614,1957,Graduation,Widow,65486,0,1,2014-05-12,29,19,125,4,10,2,0,0,0,0
4114,1964,Master,Married,79143,0,0,2012-08-11,2,37,780,6,13,3,0,0,0,0
1331,1977,Graduation,Single,35790,1,0,2013-01-02,54,6,20,2,3,7,0,0,0,0
2225,1977,Graduation,Divorced,82582,0,0,2014-06-07,54,120,550,4,7,1,1,0,0,1
9381,1978,Graduation,Married,66373,1,1,2013-06-12,57,9,124,4,10,3,0,0,0,0
6260,1955,Master,Together,82384,0,0,2012-11-19,55,51,432,3,13,1,0,0,0,1
10383,1966,Graduation,Divorced,70287,0,0,2013-04-02,30,35,482,5,10,3,0,0,0,1
7437,1988,Graduation,Single,27938,1,0,2014-04-28,31,0,8,1,4,3,0,0,0,0
8557,1982,Graduation,Single,7050,1,0,2013-06-17,57,3,22,2,3,6,0,0,0,0
8375,1968,PhD,Married,55954,0,1,2014-03-03,63,0,28,8,6,7,0,0,0,0
6853,1982,Master,Single,75777,0,0,2013-07-04,12,26,538,3,11,1,0,1,0,1
3076,1975,Graduation,Together,66653,1,1,2012-09-07,18,18,102,4,12,3,0,0,0,0
1012,1952,Graduation,Single,61823,0,1,2013-02-18,26,7,134,8,10,7,0,0,0,0
6518,1951,PhD,Widow,67680,0,1,2013-06-11,8,0,48,7,8,5,0,0,0,0
4137,1948,Graduation,Together,70666,0,0,2013-12-06,29,40,367,7,4,4,0,0,0,0
8082,1971,Graduation,Married,25721,1,0,2013-05-21,75,3,6,1,2,7,0,0,0,1
1386,1967,Graduation,Together,32474,1,1,2014-05-11,0,0,1,1,2,7,0,0,0,0
9369,1979,2n Cycle,Single,88194,0,1,2014-03-19,19,14,309,11,10,5,1,0,0,1
4477,1958,Graduation,Together,69096,0,1,2013-09-27,4,49,159,5,10,4,0,0,0,0
1357,1970,Graduation,Together,74854,1,2,2013-04-08,90,59,487,2,5,5,0,0,0,0
1402,1954,Master,Married,66991,0,0,2012-09-11,1,36,460,4,6,3,0,0,0,0
10629,1973,2n Cycle,Married,6783,1,0,2012-09-14,25,3,43,3,3,8,0,0,0,0
6312,1959,Graduation,Married,65031,0,1,2013-03-17,29,107,291,10,13,7,0,0,0,0
8132,1975,PhD,Married,60631,1,1,2013-04-05,88,6,65,9,8,7,0,1,0,0
1050,1952,Graduation,Married,28332,0,0,2014-04-30,58,10,13,2,4,2,0,0,0,0
5846,1977,Graduation,Divorced,40246,1,0,2012-12-19,68,1,6,1,2,6,0,0,0,0
1859,1972,Master,Married,75251,0,0,2012-08-27,34,111,925,7,5,5,0,0,0,1
7503,1976,Graduation,Single,75825,0,0,2012-10-12,40,105,779,5,9,4,1,0,0,1
10401,1976,2n Cycle,Together,26326,0,0,2013-09-04,12,0,5,0,3,3,0,0,1,0
1618,1965,Graduation,Together,56046,0,0,2013-01-02,9,0,64,10,8,8,1,0,0,1
3332,1985,Graduation,Single,29760,1,0,2012-08-29,87,4,68,3,4,8,0,0,0,0
2261,1969,Graduation,Married,26304,1,0,2013-06-23,5,1,5,1,2,7,0,0,0,0
5346,1973,2n Cycle,Married,23559,1,0,2013-07-03,87,5,19,3,3,7,0,0,0,0
4119,1963,Master,Together,38620,0,0,2013-05-11,56,17,44,2,3,3,0,0,0,0
535,1987,Graduation,Divorced,81361,0,0,2014-02-25,18,23,424,3,13,1,0,0,0,0
5268,1960,Graduation,Married,29440,1,1,2013-08-11,95,8,14,1,4,7,0,0,0,0
273,1970,Master,Married,36138,1,1,2013-07-16,48,0,16,3,4,7,0,1,0,0
4452,1957,Graduation,Single,50388,0,1,2014-05-28,3,6,37,6,6,7,0,1,0,1
8504,1973,Graduation,Married,79593,0,0,2014-05-12,70,60,568,5,7,2,0,0,0,0
771,1967,Graduation,Together,54178,0,1,2014-01-21,79,9,39,2,5,2,0,0,0,0
8996,1957,PhD,Married,14100,2,1,2012-11-19,4,42,192,7,8,9,0,0,0,0
9235,1957,Graduation,Single,44100,1,1,2014-05-27,45,0,8,1,2,7,0,0,0,0
5798,1973,Master,Together,54600,0,0,2013-11-23,87,37,359,2,8,1,0,0,0,0
11178,1972,Master,Single,42394,1,0,2014-03-23,69,2,10,1,3,7,0,0,0,0
2230,1970,PhD,Married,23626,1,0,2014-05-24,84,2,14,3,3,5,0,0,0,0
7516,1983,Graduation,Married,30096,1,0,2014-05-22,30,3,11,2,3,6,0,0,0,0
7247,1960,Graduation,Widow,47916,0,1,2012-11-22,72,0,26,7,6,6,0,1,0,0
11100,1972,Graduation,Divorced,51813,1,1,2013-04-11,37,2,7,2,3,7,0,0,0,0
4646,1951,2n Cycle,Married,78497,0,0,2013-12-01,44,26,447,5,12,2,0,0,0,0
3037,1983,PhD,Married,50150,0,0,2013-06-20,32,46,92,5,7,5,0,0,0,0
1473,1960,2n Cycle,Single,47823,0,1,2013-07-23,0,1,5,2,3,8,0,0,0,0
1016,1959,PhD,Single,34554,0,1,2014-03-30,43,1,6,2,3,6,0,0,0,0
4518,1979,Graduation,Together,85693,0,1,2013-04-20,59,172,183,9,11,5,0,0,0,0
9370,1945,PhD,Married,65846,0,0,2013-05-17,68,81,276,6,6,4,0,0,0,0
8908,1959,Graduation,Married,87195,0,0,2014-05-08,35,76,690,3,5,1,0,0,0,1
8373,1979,Basic,Together,24594,1,0,2013-12-10,94,3,6,1,3,5,0,0,0,0
7533,1964,Graduation,Married,49096,1,1,2013-09-24,15,1,32,4,4,7,0,0,0,0
2683,1969,Graduation,Married,52413,0,2,2013-02-02,56,106,271,6,12,6,0,0,0,0
3629,1978,Graduation,Single,38557,1,0,2012-12-19,17,3,31,3,3,7,0,0,0,0
10991,1960,Master,Married,89058,0,0,2012-12-07,18,194,106,5,4,2,0,0,0,0
5077,1979,Graduation,Together,77298,0,1,2013-11-02,46,115,292,6,11,3,0,0,0,0
7431,1991,PhD,Single,68126,0,0,2012-11-10,40,17,311,7,5,9,0,1,0,1
3267,1963,Master,Together,57288,0,1,2014-06-25,27,0,21,8,8,6,0,1,0,0
999,1991,Graduation,Single,86037,0,0,2013-01-02,95,44,125,6,11,3,0,1,0,1
9215,1980,PhD,Married,43974,1,0,2012-12-12,19,0,101,6,6,7,0,0,0,0
2286,1962,Graduation,Single,50785,1,1,2013-09-10,27,1,21,2,3,6,0,0,0,0
1592,1970,Graduation,Married,90765,0,0,2014-01-24,25,99,812,4,5,1,0,0,0,0
367,1978,2n Cycle,Married,36550,1,0,2013-02-19,74,90,94,9,5,9,0,0,0,0
5234,1967,2n Cycle,Together,30753,1,1,2013-07-11,85,5,25,1,3,5,0,0,0,0
9862,1969,Graduation,Together,21918,1,0,2013-11-14,37,6,7,2,3,6,0,0,0,0
9805,1953,Master,Together,56129,0,1,2013-06-20,65,48,133,6,10,4,0,0,0,0
